emailDate,emailHour,totalCount
01/01/2001,1,1
01/01/2001,2,1
01/01/2001,4,2
01/01/2001,5,3
01/01/2001,6,1
01/01/2001,8,3
01/01/2001,9,2
01/01/2001,10,2
01/01/2001,11,3
01/01/2001,12,6
01/01/2001,13,4
01/01/2001,15,2
01/01/2001,18,2
01/01/2001,23,14
02/01/2001,0,24
02/01/2001,1,57
02/01/2001,2,25
02/01/2001,3,28
02/01/2001,4,23
02/01/2001,5,32
02/01/2001,6,29
02/01/2001,7,22
02/01/2001,8,27
02/01/2001,9,33
02/01/2001,10,24
02/01/2001,11,10
02/01/2001,12,1
02/01/2001,13,8
02/01/2001,14,8
02/01/2001,15,4
02/01/2001,16,2
02/01/2001,19,3
02/01/2001,22,3
02/01/2001,23,6
03/01/2001,0,24
03/01/2001,1,40
03/01/2001,2,25
03/01/2001,3,33
03/01/2001,4,33
03/01/2001,5,42
03/01/2001,6,33
03/01/2001,7,38
03/01/2001,8,44
03/01/2001,9,25
03/01/2001,10,19
03/01/2001,11,9
03/01/2001,12,5
03/01/2001,13,2
03/01/2001,14,1
03/01/2001,15,7
03/01/2001,17,2
03/01/2001,22,3
03/01/2001,23,6
04/01/2001,0,19
04/01/2001,1,31
04/01/2001,2,39
04/01/2001,3,22
04/01/2001,4,26
04/01/2001,5,16
04/01/2001,6,25
04/01/2001,7,38
04/01/2001,8,27
04/01/2001,9,28
04/01/2001,10,26
04/01/2001,11,7
04/01/2001,12,8
04/01/2001,13,5
04/01/2001,14,7
04/01/2001,15,1
04/01/2001,16,2
04/01/2001,17,1
04/01/2001,18,1
04/01/2001,22,5
04/01/2001,23,7
05/01/2001,0,23
05/01/2001,1,28
05/01/2001,2,38
05/01/2001,3,34
05/01/2001,4,23
05/01/2001,5,19
05/01/2001,6,41
05/01/2001,7,35
05/01/2001,8,29
05/01/2001,9,26
05/01/2001,10,10
05/01/2001,11,25
05/01/2001,13,5
05/01/2001,15,1
05/01/2001,17,1
05/01/2001,21,1
05/01/2001,23,1
06/01/2001,0,2
06/01/2001,1,2
06/01/2001,2,2
06/01/2001,4,2
06/01/2001,11,2
06/01/2001,13,1
06/01/2001,14,1
06/01/2001,16,1
07/01/2001,0,1
07/01/2001,2,3
07/01/2001,3,5
07/01/2001,4,5
07/01/2001,5,4
07/01/2001,9,2
07/01/2001,10,1
07/01/2001,11,6
07/01/2001,13,3
07/01/2001,15,4
07/01/2001,16,1
07/01/2001,22,4
07/01/2001,23,14
08/01/2001,0,18
08/01/2001,1,25
08/01/2001,2,34
08/01/2001,3,26
08/01/2001,4,34
08/01/2001,5,36
08/01/2001,6,33
08/01/2001,7,32
08/01/2001,8,31
08/01/2001,9,15
08/01/2001,10,17
08/01/2001,11,8
08/01/2001,12,4
08/01/2001,14,2
08/01/2001,15,1
08/01/2001,17,4
08/01/2001,22,2
08/01/2001,23,11
09/01/2001,0,15
09/01/2001,1,35
09/01/2001,2,40
09/01/2001,3,38
09/01/2001,4,18
09/01/2001,5,15
09/01/2001,6,32
09/01/2001,7,24
09/01/2001,8,16
09/01/2001,9,15
09/01/2001,10,5
09/01/2001,11,4
09/01/2001,12,5
09/01/2001,13,8
09/01/2001,14,12
09/01/2001,15,6
09/01/2001,16,3
09/01/2001,17,2
09/01/2001,18,3
09/01/2001,19,4
09/01/2001,20,2
09/01/2001,21,1
09/01/2001,22,1
09/01/2001,23,6
10/01/2001,0,29
10/01/2001,1,26
10/01/2001,2,33
10/01/2001,3,36
10/01/2001,4,16
10/01/2001,5,24
10/01/2001,6,35
10/01/2001,7,34
10/01/2001,8,25
10/01/2001,9,30
10/01/2001,10,13
10/01/2001,11,3
10/01/2001,12,3
10/01/2001,13,2
10/01/2001,14,5
10/01/2001,15,4
10/01/2001,16,3
10/01/2001,18,1
10/01/2001,19,1
10/01/2001,21,2
10/01/2001,22,3
10/01/2001,23,4
