yNAme,month,totalEmails
1999,January,63
1999,February,42
1999,March,48
1999,April,35
1999,May,305
1999,June,305
1999,July,397
1999,August,488
1999,September,575
1999,October,646
1999,November,646
1999,December,1210
2000,January,2043
2000,February,2353
2000,March,2853
2000,April,3046
2000,May,3847
2000,June,4918
2000,July,4714
2000,August,6750
2000,September,7271
2000,October,8625
2000,November,11388
2000,December,10899
2001,January,8127
2001,February,8219
2001,March,10686
2001,April,14348
2001,May,16986
2001,June,11128
2001,July,6980
2001,August,7490
2001,September,9888
2001,October,29556
2001,November,23441
2001,December,9471
2002,January,11948
2002,February,6050
2002,March,2826
2002,April,688
2002,May,445
2002,June,525
2002,July,75
2002,August,0
2002,September,3
2002,October,1
2002,November,0
2002,December,1
,,
,,5257.270833
